|purchaseorderid|vendorid|employeeid|subtotal  |
|266            |1,536   |253       |475.209    |
|267            |1,568   |255       |5,757.675  |
|268            |1,648   |256       |142.4115   |
|269            |1,646   |259       |48,030.675 |
|270            |1,672   |260       |22,516.725 |
|271            |1,600   |258       |1,276.275  |
|272            |1,522   |254       |2,003.925  |
|273            |1,570   |257       |22,516.725 |
|274            |1,516   |261       |454.86     |
|275            |1,506   |251       |43,878.45  |
|276            |1,626   |253       |7,132.125  |
|277            |1,542   |252       |28,343.7   |
|278            |1,610   |256       |22,516.725 |
|279            |1,638   |259       |34,644.225 |
|280            |1,582   |260       |371.2275   |
|281            |1,510   |258       |143.0415   |
|282            |1,526   |254       |28,199.325 |
|283            |1,644   |257       |3,713.325  |
|284            |1,680   |261       |43,878.45  |
|285            |1,584   |251       |2,979.27   |
|286            |1,620   |253       |5,711.475  |
|287            |1,666   |255       |347.445    |
|288            |1,592   |252       |97.965     |
|289            |1,618   |259       |114.471    |
|290            |1,612   |260       |132.6465   |
|291            |1,586   |258       |43,878.45  |
|292            |1,500   |250       |418.95     |
|293            |1,656   |257       |389.655    |
|294            |1,572   |261       |461.79     |
|295            |1,562   |251       |982.4535   |
|296            |1,662   |253       |37.0755    |
|297            |1,682   |255       |21,558.075 |
|298            |1,686   |256       |688.8735   |
|299            |1,684   |259       |20,980.575 |
|300            |1,534   |260       |372.645    |
|301            |1,614   |258       |260.4735   |
|302            |1,588   |254       |40,471.2   |
|303            |1,622   |257       |414.855    |
|304            |1,632   |261       |38,421.075 |
|305            |1,608   |251       |5,948.25   |
|306            |1,576   |253       |91,117.95  |
|307            |1,590   |255       |525        |
|308            |1,514   |256       |2,003.6835 |
|309            |1,498   |259       |26,455.275 |
|310            |1,674   |250       |944.37     |
|311            |1,652   |258       |6,993.525  |
|312            |1,578   |254       |36,122.625 |
|313            |1,538   |257       |37,843.575 |
|314            |1,556   |261       |25,531.275 |
|315            |1,554   |251       |111.069    |
|316            |1,688   |253       |125.748    |
|317            |1,580   |255       |150.7905   |
|318            |1,496   |256       |235.9035   |
|319            |1,494   |259       |8,847.3    |
|320            |1,650   |260       |171.0765   |
|321            |1,654   |250       |20,397.3   |
|322            |1,664   |254       |14,628.075 |
|323            |1,678   |257       |25,334.925 |
|324            |1,616   |261       |278.523    |
|325            |1,492   |251       |1,497.51   |
|326            |1,602   |253       |1,796.0355 |
|327            |1,540   |255       |738.99     |
|328            |1,628   |256       |34,644.225 |
|329            |1,604   |259       |1,839.5055 |
|330            |1,690   |260       |146.286    |
|331            |1,566   |258       |102.564    |
|332            |1,698   |254       |150.7905   |
|333            |1,560   |257       |13,669.425 |
|334            |1,692   |261       |6,444.9    |
|335            |1,696   |251       |152,581.275|
|336            |1,504   |253       |551.88     |
|337            |1,544   |255       |6,987.75   |
|338            |1,530   |256       |28,072.275 |
|339            |1,508   |252       |37,312.275 |
|340            |1,694   |260       |7,623      |
|341            |1,624   |258       |28,297.5   |
|342            |1,548   |254       |59.9445    |
|343            |1,598   |257       |358.155    |
|344            |1,658   |261       |43,878.45  |
|345            |1,536   |250       |414.918    |
|346            |1,568   |253       |29,989.575 |
|347            |1,648   |255       |142.4115   |
|348            |1,646   |256       |48,030.675 |
|349            |1,672   |259       |693.5985   |
|350            |1,600   |260       |1,276.275  |
|351            |1,522   |258       |2,003.925  |
|352            |1,570   |254       |28,343.7   |
|353            |1,516   |252       |454.86     |
|354            |1,506   |261       |43,878.45  |
|355            |1,626   |251       |7,132.125  |
|356            |1,542   |253       |28,343.7   |
|357            |1,610   |255       |22,516.725 |
|358            |1,638   |256       |34,644.225 |
|359            |1,582   |259       |117.369    |
|360            |1,510   |260       |143.0415   |
|361            |1,526   |258       |28,199.325 |
|362            |1,644   |254       |3,713.325  |
|363            |1,680   |257       |19,952.625 |
|364            |1,584   |261       |6,540.66   |
|365            |1,620   |251       |5,711.475  |
|366            |1,666   |253       |566.0865   |
|367            |1,592   |255       |97.965     |
|368            |1,618   |256       |114.471    |
|369            |1,612   |259       |132.6465   |
|370            |1,586   |260       |43,878.45  |
|371            |1,500   |258       |418.95     |
|372            |1,656   |254       |240.723    |
|373            |1,572   |257       |461.79     |
|374            |1,562   |261       |253.323    |
|375            |1,662   |251       |37.0755    |
|376            |1,682   |253       |21,558.075 |
|377            |1,686   |252       |260.4735   |
|378            |1,684   |256       |86,220.75  |
|379            |1,534   |259       |465.2865   |
|380            |1,614   |260       |428.4      |
|381            |1,588   |258       |40,471.2   |
|382            |1,622   |254       |272.4435   |
|383            |1,632   |257       |23,671.725 |
|384            |1,608   |261       |5,948.25   |
|385            |1,576   |251       |91,117.95  |
|386            |1,590   |253       |525        |
|387            |1,514   |255       |2,003.6835 |
|388            |1,498   |252       |26,455.275 |
|389            |1,674   |259       |944.37     |
|390            |1,652   |260       |48,186.6   |
|391            |1,578   |258       |26,720.925 |
|392            |1,538   |250       |37,843.575 |
|393            |1,556   |257       |25,531.275 |
|394            |1,554   |261       |278.838    |
|395            |1,688   |251       |125.748    |
|396            |1,580   |253       |150.7905   |
|397            |1,496   |255       |839.79     |
|398            |1,494   |256       |8,847.3    |
|399            |1,650   |259       |171.0765   |
|400            |1,654   |260       |20,397.3   |
|401            |1,664   |258       |14,628.075 |
|402            |1,678   |254       |33,350.625 |
|403            |1,616   |257       |414.855    |
|404            |1,492   |261       |278.838    |
|405            |1,602   |251       |1,796.0355 |
|406            |1,540   |253       |124.362    |
|407            |1,628   |255       |34,644.225 |
|408            |1,604   |256       |1,839.5055 |
|409            |1,690   |259       |146.286    |
|410            |1,566   |250       |102.564    |
|411            |1,698   |258       |150.7905   |
|412            |1,560   |254       |13,669.425 |
|413            |1,692   |257       |9,948.33   |
|414            |1,696   |261       |28,343.7   |
|415            |1,504   |251       |551.88     |
|416            |1,544   |253       |6,987.75   |
|417            |1,514   |259       |2,003.6835 |
|418            |1,498   |260       |26,455.275 |
|419            |1,674   |258       |944.37     |
|420            |1,652   |250       |3,401.475  |
|421            |1,578   |257       |62,843.55  |
|422            |1,538   |261       |37,843.575 |
|423            |1,556   |251       |25,531.275 |
|424            |1,554   |253       |285.3585   |
|425            |1,688   |255       |125.748    |
|426            |1,580   |256       |150.7905   |
|427            |1,496   |259       |764.19     |
|428            |1,494   |260       |8,847.3    |
|429            |1,650   |258       |171.0765   |
|430            |1,654   |254       |20,397.3   |
|431            |1,664   |257       |14,628.075 |
|432            |1,678   |261       |25,334.925 |
|433            |1,616   |251       |395.955    |
|434            |1,492   |253       |285.3585   |
|435            |1,602   |255       |1,796.0355 |
|436            |1,540   |256       |501.1965   |
|437            |1,628   |259       |34,644.225 |
|438            |1,604   |250       |1,839.5055 |
|439            |1,690   |258       |146.286    |
|440            |1,566   |254       |102.564    |
|441            |1,698   |257       |150.7905   |
|442            |1,560   |261       |13,669.425 |
|443            |1,692   |251       |9,637.11   |
|444            |1,696   |253       |34,118.7   |
|445            |1,504   |255       |551.88     |
|446            |1,544   |256       |6,987.75   |
|447            |1,530   |259       |28,072.275 |
|448            |1,508   |260       |37,312.275 |
|449            |1,694   |250       |7,623      |
|450            |1,624   |254       |28,297.5   |
|451            |1,548   |257       |59.9445    |
|452            |1,598   |261       |234.6435   |
|453            |1,658   |251       |43,878.45  |
|454            |1,536   |253       |247.2435   |
|455            |1,568   |255       |49,376.25  |
|456            |1,648   |256       |142.4115   |
|457            |1,646   |259       |48,030.675 |
|458            |1,672   |260       |51,113.748 |
|459            |1,600   |258       |1,276.275  |
|460            |1,522   |254       |2,003.925  |
|461            |1,570   |257       |22,516.725 |
|462            |1,516   |261       |454.86     |
|463            |1,506   |251       |43,878.45  |
|464            |1,626   |253       |7,132.125  |
|465            |1,542   |255       |28,343.7   |
|466            |1,610   |256       |22,516.725 |
|467            |1,638   |252       |34,644.225 |
|468            |1,582   |260       |694.1655   |
|469            |1,510   |258       |143.0415   |
|470            |1,526   |254       |28,199.325 |
|471            |1,644   |257       |3,713.325  |
|472            |1,680   |261       |43,878.45  |
|473            |1,584   |250       |9,799.65   |
|474            |1,620   |253       |5,711.475  |
|475            |1,666   |255       |1,503.18   |
|476            |1,592   |256       |97.965     |
|477            |1,618   |259       |114.471    |
|478            |1,612   |260       |132.6465   |
|479            |1,586   |258       |43,878.45  |
|480            |1,500   |254       |418.95     |
|481            |1,656   |252       |566.0865   |
|482            |1,572   |261       |461.79     |
|483            |1,562   |251       |377.055    |
|484            |1,662   |253       |37.0755    |
|485            |1,682   |255       |21,558.075 |
|486            |1,686   |256       |507.087    |
|487            |1,684   |259       |86,220.75  |
|488            |1,534   |260       |696.528    |
|489            |1,614   |258       |663.453    |
|490            |1,588   |254       |40,471.2   |
|491            |1,622   |257       |259.8435   |
|492            |1,632   |261       |38,421.075 |
|493            |1,608   |251       |5,948.25   |
|494            |1,576   |253       |91,117.95  |
|495            |1,590   |255       |525        |
|496            |1,514   |256       |2,003.6835 |
|497            |1,498   |259       |26,455.275 |
|498            |1,674   |260       |944.37     |
|499            |1,652   |258       |51,588.075 |
|500            |1,578   |254       |62,843.55  |
|501            |1,538   |257       |37,843.575 |
|502            |1,556   |261       |25,531.275 |
|503            |1,554   |251       |402.7275   |
|504            |1,688   |253       |125.748    |
|505            |1,580   |252       |150.7905   |
|506            |1,496   |256       |465.2865   |
|507            |1,494   |259       |8,847.3    |
|508            |1,650   |260       |171.0765   |
|509            |1,654   |258       |20,397.3   |
|510            |1,664   |254       |14,628.075 |
|511            |1,678   |257       |58,685.55  |
|512            |1,616   |261       |259.8435   |
|513            |1,492   |251       |402.7275   |
|514            |1,602   |253       |270.8055   |
|515            |1,540   |255       |2,551.311  |
|516            |1,628   |252       |34,644.225 |
|517            |1,604   |259       |1,839.5055 |
|518            |1,690   |260       |146.286    |
|519            |1,566   |258       |102.564    |
|520            |1,698   |250       |150.7905   |
|521            |1,560   |257       |13,669.425 |
|522            |1,692   |261       |6,756.12   |
|523            |1,696   |251       |50,860.425 |
|524            |1,504   |253       |551.88     |
|525            |1,544   |255       |6,987.75   |
|526            |1,530   |256       |28,072.275 |
|527            |1,508   |259       |37,312.275 |
|528            |1,694   |260       |7,623      |
|529            |1,624   |258       |28,297.5   |
|530            |1,548   |254       |59.9445    |
|531            |1,598   |257       |222.0435   |
|532            |1,658   |261       |43,878.45  |
|533            |1,536   |251       |345.555    |
|534            |1,568   |253       |15,153.6   |
|535            |1,648   |255       |142.4115   |
|536            |1,646   |256       |48,030.675 |
|537            |1,530   |255       |28,072.275 |
|538            |1,508   |256       |37,312.275 |
|539            |1,694   |259       |7,623      |
|540            |1,624   |260       |28,297.5   |
|541            |1,672   |259       |550.9665   |
|542            |1,600   |250       |1,276.275  |
|543            |1,522   |258       |2,003.925  |
|544            |1,570   |254       |28,343.7   |
|545            |1,516   |257       |454.86     |
|546            |1,506   |261       |43,878.45  |
|547            |1,626   |251       |7,132.125  |
|548            |1,542   |253       |28,343.7   |
|549            |1,610   |255       |22,516.725 |
|550            |1,638   |256       |34,644.225 |
|551            |1,582   |259       |532.917    |
|552            |1,510   |260       |143.0415   |
|553            |1,526   |250       |28,199.325 |
|554            |1,644   |254       |3,713.325  |
|555            |1,680   |257       |19,952.625 |
|556            |1,584   |261       |13,361.04  |
|557            |1,620   |251       |5,711.475  |
|558            |1,666   |253       |696.528    |
|559            |1,592   |255       |97.965     |
|560            |1,618   |256       |114.471    |
|561            |1,612   |259       |132.6465   |
|562            |1,586   |260       |43,878.45  |
|563            |1,500   |258       |418.95     |
|564            |1,656   |254       |273.7035   |
|565            |1,572   |257       |461.79     |
|566            |1,562   |261       |481.887    |
|567            |1,662   |251       |37.0755    |
|568            |1,682   |253       |21,558.075 |
|569            |1,686   |255       |567.378    |
|570            |1,684   |256       |65,240.175 |
|571            |1,534   |252       |534.807    |
|572            |1,614   |260       |136.647    |
|573            |1,588   |258       |40,471.2   |
|574            |1,622   |254       |278.523    |
|575            |1,632   |257       |23,671.725 |
|576            |1,608   |261       |5,948.25   |
|577            |1,576   |250       |91,117.95  |
|578            |1,590   |253       |525        |
|579            |1,514   |255       |2,003.6835 |
|580            |1,498   |256       |26,455.275 |
|581            |1,674   |259       |944.37     |
|582            |1,652   |260       |44,594.55  |
|583            |1,578   |258       |62,843.55  |
|584            |1,538   |254       |37,843.575 |
|585            |1,556   |252       |25,531.275 |
|586            |1,554   |261       |501.1965   |
|587            |1,688   |251       |125.748    |
|588            |1,580   |253       |150.7905   |
|589            |1,496   |255       |696.528    |
|590            |1,494   |256       |8,847.3    |
|591            |1,650   |259       |171.0765   |
|592            |1,654   |260       |20,397.3   |
|593            |1,664   |258       |14,628.075 |
|594            |1,678   |254       |33,350.625 |
|595            |1,616   |257       |1,074.78   |
|596            |1,492   |261       |501.1965   |
|597            |1,602   |251       |1,525.23   |
|598            |1,540   |253       |631.386    |
|599            |1,628   |255       |34,644.225 |
|600            |1,604   |256       |1,839.5055 |
|601            |1,690   |259       |146.286    |
|602            |1,566   |260       |102.564    |
|603            |1,698   |258       |150.7905   |
|604            |1,560   |254       |13,669.425 |
|605            |1,692   |257       |16,393.23  |
|606            |1,696   |261       |39,258.45  |
|607            |1,504   |251       |551.88     |
|608            |1,544   |253       |6,987.75   |
|609            |1,548   |250       |59.9445    |
|610            |1,598   |254       |370.755    |
|611            |1,658   |257       |43,878.45  |
|612            |1,536   |261       |272.1285   |
|613            |1,530   |252       |28,072.275 |
|614            |1,508   |256       |35,394.975 |
|615            |1,694   |259       |7,623      |
|616            |1,624   |260       |28,297.5   |
|617            |1,548   |258       |59.9445    |
|618            |1,598   |254       |567.378    |
|619            |1,658   |257       |43,878.45  |
|620            |1,536   |261       |402.255    |
|621            |1,568   |251       |27,350.4   |
|622            |1,648   |253       |142.4115   |
|623            |1,646   |255       |48,030.675 |
|624            |1,672   |252       |272.4435   |
|625            |1,600   |259       |1,276.275  |
|626            |1,522   |260       |2,003.925  |
|627            |1,570   |258       |22,516.725 |
|628            |1,516   |250       |454.86     |
|629            |1,506   |257       |43,878.45  |
|630            |1,626   |261       |7,132.125  |
|631            |1,542   |251       |28,343.7   |
|632            |1,610   |253       |22,516.725 |
|633            |1,638   |255       |34,644.225 |
|634            |1,582   |256       |241.038    |
|635            |1,510   |259       |143.0415   |
|636            |1,526   |260       |28,199.325 |
|637            |1,568   |251       |26,230.05  |
|638            |1,648   |253       |142.4115   |
|639            |1,646   |255       |48,030.675 |
|640            |1,672   |256       |28,467.2115|
|641            |1,644   |258       |3,713.325  |
|642            |1,680   |254       |43,878.45  |
|643            |1,584   |257       |2,979.27   |
|644            |1,620   |261       |5,711.475  |
|645            |1,666   |251       |1,372.7385 |
|646            |1,592   |253       |97.965     |
|647            |1,618   |255       |114.471    |
|648            |1,612   |256       |132.6465   |
|649            |1,586   |259       |43,878.45  |
|650            |1,500   |250       |418.95     |
|651            |1,656   |258       |515.6865   |
|652            |1,572   |254       |461.79     |
|653            |1,562   |257       |383.04     |
|654            |1,662   |261       |37.0755    |
|655            |1,682   |251       |21,558.075 |
|656            |1,686   |253       |545.832    |
|657            |1,684   |255       |20,980.575 |
|658            |1,534   |256       |602.028    |
|659            |1,614   |259       |694.953    |
|660            |1,588   |260       |40,471.2   |
|661            |1,622   |250       |557.487    |
|662            |1,632   |254       |38,421.075 |
|663            |1,608   |257       |5,948.25   |
|664            |1,576   |261       |91,117.95  |
|665            |1,590   |251       |525        |
|666            |1,514   |253       |2,003.6835 |
|667            |1,498   |255       |26,455.275 |
|668            |1,674   |256       |944.37     |
|669            |1,652   |259       |6,993.525  |
|670            |1,578   |260       |62,843.55  |
|671            |1,538   |258       |37,843.575 |
|672            |1,556   |254       |25,531.275 |
|673            |1,554   |257       |358.6275   |
|674            |1,688   |261       |125.748    |
|675            |1,580   |251       |150.7905   |
|676            |1,496   |253       |534.807    |
|677            |1,494   |255       |8,847.3    |
|678            |1,650   |256       |171.0765   |
|679            |1,654   |252       |20,397.3   |
|680            |1,664   |260       |14,628.075 |
|681            |1,678   |258       |25,334.925 |
|682            |1,616   |254       |278.523    |
|683            |1,492   |257       |358.6275   |
|684            |1,602   |261       |270.8055   |
|685            |1,540   |250       |2,421.1215 |
|686            |1,628   |253       |34,644.225 |
|687            |1,604   |255       |1,839.5055 |
|688            |1,690   |256       |146.286    |
|689            |1,566   |259       |102.564    |
|690            |1,698   |260       |150.7905   |
|691            |1,560   |258       |13,669.425 |
|692            |1,692   |254       |6,444.9    |
|693            |1,696   |252       |50,860.425 |
|694            |1,504   |261       |551.88     |
|695            |1,544   |251       |6,987.75   |
|696            |1,530   |253       |28,072.275 |
|697            |1,508   |255       |1,917.3    |
|698            |1,694   |256       |7,623      |
|699            |1,624   |259       |28,297.5   |
|700            |1,548   |260       |59.9445    |
|701            |1,598   |258       |117.432    |
|702            |1,658   |254       |43,878.45  |
|703            |1,536   |257       |383.355    |
|704            |1,568   |261       |10,631.775 |
|705            |1,648   |251       |142.4115   |
|706            |1,646   |253       |48,030.675 |
|707            |1,672   |255       |22,516.725 |
|708            |1,600   |256       |1,276.275  |
|709            |1,522   |259       |2,003.925  |
|710            |1,570   |260       |50,860.425 |
|711            |1,516   |258       |454.86     |
|712            |1,506   |254       |43,878.45  |
|713            |1,626   |257       |7,132.125  |
|714            |1,542   |261       |28,343.7   |
|715            |1,610   |251       |22,516.725 |
|716            |1,638   |253       |34,644.225 |
|717            |1,582   |252       |247.5585   |
|718            |1,510   |256       |143.0415   |
|719            |1,526   |259       |28,199.325 |
|720            |1,644   |260       |3,713.325  |
|721            |1,680   |258       |19,952.625 |
|722            |1,584   |254       |6,540.66   |
|723            |1,620   |257       |5,711.475  |
