|purchaseorderid|purchaseorderdetailid|productid|orderqty|unitprice|
|33             |80                   |403      |3       |45.3705  |
|33             |81                   |404      |3       |49.644   |
|33             |82                   |405      |3       |45.3705  |
|34             |83                   |525      |550     |2.3205   |
|35             |84                   |526      |550     |3.6435   |
|36             |85                   |908      |550     |21.0945  |
|36             |86                   |909      |550     |30.4395  |
|36             |87                   |913      |550     |40.9395  |
|37             |88                   |356      |60      |3.6015   |
|37             |89                   |357      |60      |3.9795   |
|38             |90                   |935      |550     |31.4895  |
|38             |91                   |936      |550     |48.2895  |
|39             |92                   |524      |550     |12.9675  |
|40             |93                   |911      |550     |21.0945  |
|40             |94                   |912      |550     |30.4395  |
|41             |95                   |910      |550     |40.9395  |
|42             |96                   |937      |550     |62.9895  |
|43             |97                   |463      |3       |47.523   |
|43             |98                   |464      |3       |45.423   |
|43             |99                   |465      |3       |49.6965  |
|44             |100                  |462      |3       |47.6805  |
|45             |101                  |510      |550     |23.4045  |
|45             |102                  |511      |550     |27.867   |
|46             |103                  |527      |550     |6.7515   |
|47             |104                  |938      |550     |31.4895  |
|47             |105                  |939      |550     |48.2895  |
|47             |106                  |509      |550     |36.2775  |
|48             |107                  |492      |60      |50.7465  |
|48             |108                  |493      |60      |58.2645  |
|48             |109                  |494      |60      |50.7465  |
|48             |110                  |495      |60      |62.9265  |
|48             |111                  |496      |60      |49.6545  |
|49             |112                  |523      |550     |10.3845  |
|50             |113                  |422      |3       |47.6805  |
|50             |114                  |423      |3       |45.5805  |
|50             |115                  |424      |3       |49.854   |
|51             |116                  |490      |3       |12.7155  |
|51             |117                  |491      |3       |19.9395  |
|52             |118                  |528      |3       |38.157   |
|53             |119                  |505      |3       |44.2155  |
|54             |120                  |938      |550     |31.4895  |
|54             |121                  |939      |550     |48.2895  |
|55             |122                  |358      |60      |6.9825   |
|56             |123                  |375      |3       |43.2705  |
|56             |124                  |376      |3       |47.544   |
|56             |125                  |377      |3       |43.2705  |
|56             |126                  |378      |3       |41.1705  |
|57             |127                  |356      |60      |3.381    |
|57             |128                  |357      |60      |4.3155   |
|58             |129                  |375      |3       |43.2705  |
|58             |130                  |376      |3       |41.1705  |
|58             |131                  |377      |3       |45.444   |
|58             |132                  |378      |3       |41.1705  |
|58             |133                  |379      |3       |39.0705  |
|59             |134                  |490      |3       |12.3585  |
|60             |135                  |513      |550     |39.1965  |
|61             |136                  |403      |3       |45.444   |
|61             |137                  |404      |3       |41.1705  |
|61             |138                  |405      |3       |39.0705  |
|61             |139                  |406      |3       |43.344   |
|62             |140                  |931      |550     |34.8705  |
|62             |141                  |932      |550     |39.7635  |
|63             |142                  |422      |3       |47.6805  |
|63             |143                  |423      |3       |45.5805  |
|63             |144                  |424      |3       |49.854   |
|64             |145                  |341      |3       |47.5755  |
|64             |146                  |342      |3       |45.4755  |
|65             |147                  |931      |550     |34.3455  |
|65             |148                  |932      |550     |39.2385  |
|66             |149                  |341      |3       |47.4705  |
|66             |150                  |342      |3       |45.3705  |
|66             |151                  |343      |3       |49.644   |
|66             |152                  |344      |3       |45.3705  |
|67             |153                  |928      |550     |32.7705  |
|67             |154                  |929      |550     |37.086   |
|67             |155                  |930      |550     |43.0395  |
|68             |156                  |332      |550     |10.815   |
|69             |157                  |948      |550     |82.8345  |
|69             |158                  |907      |550     |82.8345  |
|70             |159                  |325      |1,250   |0.21     |
|70             |160                  |326      |1,250   |0.21     |
|71             |161                  |320      |3       |49.644   |
|71             |162                  |321      |3       |44.3205  |
|71             |163                  |322      |60      |28.6965  |
|72             |164                  |930      |550     |42.5145  |
|72             |165                  |921      |550     |5.586    |
|73             |166                  |952      |60      |15.7395  |
|74             |167                  |933      |550     |43.4595  |
|74             |168                  |934      |550     |37.6215  |
|75             |169                  |317      |550     |29.5785  |
|75             |170                  |318      |550     |36.099   |
|75             |171                  |319      |550     |48.5835  |
|76             |172                  |928      |550     |32.2455  |
|76             |173                  |929      |550     |36.561   |
|77             |174                  |319      |550     |46.4205  |
|78             |175                  |359      |3       |47.523   |
|78             |176                  |360      |3       |45.423   |
|78             |177                  |361      |3       |49.6965  |
|78             |178                  |362      |3       |45.423   |
|78             |179                  |363      |3       |43.323   |
|79             |180                  |2        |3       |41.916   |
|80             |181                  |1        |3       |50.2635  |
|81             |182                  |361      |3       |49.854   |
|81             |183                  |362      |3       |45.5805  |
|81             |184                  |363      |3       |43.4805  |
|81             |185                  |364      |3       |47.754   |
|82             |186                  |530      |550     |16.086   |
|83             |187                  |4        |3       |57.0255  |
|84             |188                  |512      |550     |37.086   |
|85             |189                  |513      |550     |26.5965  |
|86             |190                  |317      |550     |27.0585  |
|86             |191                  |318      |550     |33.579   |
|86             |192                  |319      |550     |46.0635  |
|87             |193                  |408      |3       |47.544   |
|87             |194                  |409      |3       |43.2705  |
|87             |195                  |410      |3       |41.1705  |
|87             |196                  |411      |3       |45.444   |
|87             |197                  |412      |3       |41.1705  |
|87             |198                  |413      |3       |39.0705  |
|88             |199                  |427      |3       |47.5965  |
|88             |200                  |428      |3       |43.323   |
|88             |201                  |429      |3       |41.223   |
|88             |202                  |430      |3       |45.4965  |
|88             |203                  |431      |3       |41.223   |
|89             |204                  |320      |3       |47.4705  |
|89             |205                  |321      |3       |42.798   |
|89             |206                  |322      |60      |25.4205  |
|90             |207                  |442      |3       |43.3965  |
|90             |208                  |443      |3       |39.123   |
|90             |209                  |444      |3       |37.023   |
|91             |210                  |941      |550     |62.9895  |
|92             |211                  |320      |3       |45.3705  |
|92             |212                  |321      |3       |40.488   |
|93             |213                  |504      |3       |48.762   |
|94             |214                  |497      |3       |34.188   |
|95             |215                  |323      |3       |50.2635  |
|96             |216                  |523      |550     |10.731   |
|96             |217                  |524      |550     |14.1225  |
|97             |218                  |492      |60      |50.2635  |
|97             |219                  |493      |60      |57.1515  |
|97             |220                  |494      |60      |53.2035  |
|97             |221                  |495      |60      |63.693   |
|97             |222                  |496      |60      |48.909   |
|98             |223                  |913      |550     |40.9395  |
|98             |224                  |914      |550     |21.0945  |
|98             |225                  |915      |550     |30.4395  |
|98             |226                  |916      |550     |40.9395  |
|99             |227                  |506      |60      |9.198    |
|100            |228                  |351      |550     |5.775    |
|100            |229                  |352      |550     |1.155    |
|100            |230                  |679      |550     |5.775    |
|101            |231                  |507      |550     |23.394   |
|101            |232                  |508      |550     |27.6465  |
|102            |233                  |355      |550     |1.365    |
|102            |234                  |940      |550     |62.9895  |
|103            |235                  |679      |550     |6.195    |
|104            |236                  |507      |550     |22.1655  |
|104            |237                  |508      |550     |29.2845  |
|105            |238                  |491      |3       |19.9815  |
|106            |239                  |347      |3       |36.9705  |
|106            |240                  |348      |3       |34.8705  |
|106            |241                  |349      |3       |39.144   |
|107            |242                  |935      |550     |31.4895  |
|107            |243                  |936      |550     |48.2895  |
|108            |244                  |380      |3       |43.218   |
|108            |245                  |381      |3       |47.4915  |
|108            |246                  |382      |3       |43.2705  |
|108            |247                  |383      |3       |47.544   |
|108            |248                  |384      |3       |43.2705  |
|109            |249                  |479      |550     |15.8865  |
|109            |250                  |480      |550     |11.6655  |
|109            |251                  |481      |550     |11.088   |
|109            |252                  |482      |550     |8.757    |
|109            |253                  |483      |550     |9.6915   |
|110            |254                  |402      |3       |47.4705  |
|111            |255                  |512      |550     |34.9755  |
|112            |256                  |406      |3       |43.2705  |
|112            |257                  |407      |3       |47.544   |
|113            |258                  |525      |550     |2.3205   |
|114            |259                  |526      |550     |3.6435   |
|115            |260                  |908      |550     |21.0945  |
|115            |261                  |909      |550     |30.4395  |
|115            |262                  |913      |550     |40.9395  |
|116            |263                  |356      |60      |3.6015   |
|116            |264                  |357      |60      |3.9795   |
|117            |265                  |935      |550     |31.4895  |
|117            |266                  |936      |550     |48.2895  |
|118            |267                  |524      |550     |12.9675  |
|119            |268                  |911      |550     |21.0945  |
|119            |269                  |912      |550     |30.4395  |
|120            |270                  |910      |550     |40.9395  |
|121            |271                  |937      |550     |62.9895  |
|122            |272                  |466      |3       |45.423   |
|122            |273                  |467      |3       |43.323   |
|123            |274                  |462      |3       |47.6805  |
|124            |275                  |510      |550     |23.4045  |
|124            |276                  |511      |550     |27.867   |
|125            |277                  |527      |550     |6.7515   |
|126            |278                  |938      |550     |31.4895  |
|126            |279                  |939      |550     |48.2895  |
|126            |280                  |509      |550     |36.2775  |
|127            |281                  |492      |60      |50.7465  |
|127            |282                  |493      |60      |58.2645  |
|127            |283                  |494      |60      |50.7465  |
|127            |284                  |495      |60      |62.9265  |
|127            |285                  |496      |60      |49.6545  |
|128            |286                  |523      |550     |10.3845  |
|129            |287                  |425      |3       |45.5805  |
|129            |288                  |426      |3       |43.4805  |
|129            |289                  |427      |3       |47.754   |
|129            |290                  |428      |3       |43.4805  |
|129            |291                  |429      |3       |41.3805  |
|130            |292                  |490      |3       |12.7155  |
|130            |293                  |491      |3       |19.9395  |
|131            |294                  |528      |3       |38.157   |
|132            |295                  |505      |3       |44.2155  |
|133            |296                  |938      |550     |31.4895  |
|133            |297                  |939      |550     |48.2895  |
|134            |298                  |358      |60      |6.9825   |
|135            |299                  |379      |3       |45.444   |
|135            |300                  |380      |3       |41.1705  |
|135            |301                  |381      |3       |39.0705  |
|135            |302                  |438      |3       |47.6805  |
|135            |303                  |439      |3       |45.5805  |
|135            |304                  |440      |3       |49.854   |
|135            |305                  |441      |3       |45.5805  |
|135            |306                  |442      |3       |43.4805  |
|135            |307                  |443      |3       |47.754   |
|135            |308                  |444      |3       |43.4805  |
|135            |309                  |445      |3       |41.3805  |
|135            |310                  |446      |3       |45.654   |
|135            |311                  |447      |3       |41.3805  |
|135            |312                  |448      |3       |39.2805  |
|135            |313                  |449      |3       |43.554   |
|135            |314                  |450      |3       |39.2805  |
|135            |315                  |451      |3       |37.1805  |
|135            |316                  |452      |3       |41.454   |
|135            |317                  |453      |3       |37.1805  |
|135            |318                  |454      |3       |47.523   |
|135            |319                  |455      |3       |45.423   |
|135            |320                  |456      |3       |49.6965  |
|135            |321                  |457      |3       |45.423   |
|135            |322                  |458      |3       |43.323   |
|135            |323                  |459      |3       |47.5965  |
|135            |324                  |460      |3       |43.323   |
|136            |325                  |356      |60      |3.381    |
|136            |326                  |357      |60      |4.3155   |
|137            |327                  |380      |3       |43.344   |
|137            |328                  |381      |3       |39.0705  |
|137            |329                  |382      |3       |36.9705  |
|137            |330                  |383      |3       |41.244   |
|137            |331                  |384      |3       |36.9705  |
|137            |332                  |385      |3       |43.218   |
|138            |333                  |490      |3       |12.3585  |
|139            |334                  |513      |550     |39.1965  |
|140            |335                  |407      |3       |39.0705  |
|140            |336                  |408      |3       |36.9705  |
|140            |337                  |409      |3       |41.244   |
|141            |338                  |933      |550     |43.9845  |
|141            |339                  |934      |550     |38.1465  |
|142            |340                  |425      |3       |45.5805  |
|142            |341                  |426      |3       |43.4805  |
|143            |342                  |343      |3       |49.749   |
|143            |343                  |344      |3       |45.4755  |
|143            |344                  |345      |3       |43.3755  |
|144            |345                  |931      |550     |34.3455  |
|144            |346                  |932      |550     |39.2385  |
|145            |347                  |345      |3       |43.2705  |
|145            |348                  |346      |3       |47.544   |
|145            |349                  |347      |3       |43.2705  |
|145            |350                  |348      |3       |41.1705  |
|145            |351                  |349      |3       |45.444   |
|146            |352                  |928      |550     |32.7705  |
|146            |353                  |929      |550     |37.086   |
|146            |354                  |930      |550     |43.0395  |
|147            |355                  |332      |550     |10.815   |
|148            |356                  |948      |550     |82.8345  |
|148            |357                  |907      |550     |82.8345  |
|149            |358                  |325      |1,250   |0.21     |
|149            |359                  |326      |1,250   |0.21     |
|150            |360                  |320      |3       |49.644   |
|150            |361                  |321      |3       |44.3205  |
|150            |362                  |322      |60      |28.6965  |
|151            |363                  |930      |550     |42.5145  |
|151            |364                  |921      |550     |5.586    |
|152            |365                  |952      |60      |15.7395  |
|153            |366                  |922      |550     |6.531    |
|153            |367                  |923      |550     |6.1845   |
|154            |368                  |317      |550     |29.5785  |
|154            |369                  |318      |550     |36.099   |
|155            |370                  |928      |550     |32.2455  |
|155            |371                  |929      |550     |36.561   |
|156            |372                  |319      |550     |46.4205  |
|157            |373                  |364      |3       |47.5965  |
|157            |374                  |365      |3       |43.323   |
|157            |375                  |366      |3       |41.223   |
|157            |376                  |367      |3       |45.4965  |
|157            |377                  |368      |3       |41.223   |
|157            |378                  |369      |3       |39.123   |
|158            |379                  |2        |3       |41.916   |
|159            |380                  |1        |3       |50.2635  |
|160            |381                  |365      |3       |43.4805  |
|160            |382                  |366      |3       |41.3805  |
|160            |383                  |367      |3       |45.654   |
|161            |384                  |530      |550     |16.086   |
|162            |385                  |4        |3       |57.0255  |
|163            |386                  |512      |550     |37.086   |
|164            |387                  |513      |550     |26.5965  |
|165            |388                  |317      |550     |27.0585  |
|165            |389                  |318      |550     |33.579   |
|165            |390                  |319      |550     |46.0635  |
|166            |391                  |414      |3       |43.344   |
|166            |392                  |415      |3       |39.0705  |
|166            |393                  |416      |3       |36.9705  |
|166            |394                  |417      |3       |41.244   |
|167            |395                  |432      |3       |39.123   |
|167            |396                  |433      |3       |43.3965  |
|167            |397                  |434      |3       |39.123   |
|167            |398                  |435      |3       |37.023   |
|167            |399                  |436      |3       |41.2965  |
|167            |400                  |437      |3       |37.023   |
|168            |401                  |320      |3       |47.4705  |
|168            |402                  |321      |3       |42.798   |
|168            |403                  |322      |60      |25.4205  |
|169            |404                  |445      |3       |41.2965  |
|169            |405                  |446      |3       |37.023   |
|169            |406                  |447      |3       |47.6805  |
|169            |407                  |448      |3       |45.5805  |
|169            |408                  |449      |3       |49.854   |
|170            |409                  |941      |550     |62.9895  |
|171            |410                  |322      |60      |26.3655  |
|172            |411                  |504      |3       |48.762   |
|173            |412                  |497      |3       |34.188   |
|174            |413                  |323      |3       |50.2635  |
|175            |414                  |523      |550     |10.731   |
|175            |415                  |524      |550     |14.1225  |
|176            |416                  |492      |60      |50.2635  |
|176            |417                  |493      |60      |57.1515  |
|176            |418                  |494      |60      |53.2035  |
|176            |419                  |495      |60      |63.693   |
|177            |420                  |908      |550     |21.0945  |
|177            |421                  |909      |550     |30.4395  |
|177            |422                  |910      |550     |40.9395  |
|177            |423                  |911      |550     |21.0945  |
|177            |424                  |912      |550     |30.4395  |
|177            |425                  |913      |550     |40.9395  |
|178            |426                  |506      |60      |9.198    |
|179            |427                  |351      |550     |5.775    |
|179            |428                  |352      |550     |1.155    |
|179            |429                  |679      |550     |5.775    |
|180            |430                  |507      |550     |23.394   |
|180            |431                  |508      |550     |27.6465  |
|181            |432                  |535      |550     |3.486    |
|182            |433                  |351      |550     |6.195    |
|182            |434                  |352      |550     |1.47     |
|183            |435                  |507      |550     |22.1655  |
|183            |436                  |508      |550     |29.2845  |
|184            |437                  |491      |3       |19.9815  |
|185            |438                  |341      |3       |41.1705  |
|185            |439                  |342      |3       |39.0705  |
|185            |440                  |343      |3       |43.344   |
|185            |441                  |344      |3       |39.0705  |
|185            |442                  |345      |3       |36.9705  |
|185            |443                  |346      |3       |41.244   |
|185            |444                  |347      |3       |36.9705  |
|185            |445                  |348      |3       |34.8705  |
|185            |446                  |349      |3       |39.144   |
|186            |447                  |935      |550     |31.4895  |
|186            |448                  |936      |550     |48.2895  |
|187            |449                  |385      |3       |41.1705  |
|187            |450                  |386      |3       |45.444   |
|187            |451                  |387      |3       |41.1705  |
|187            |452                  |388      |3       |39.0705  |
|187            |453                  |389      |3       |43.344   |
|187            |454                  |390      |3       |39.0705  |
|188            |455                  |484      |550     |6.8775   |
|188            |456                  |485      |550     |7.8015   |
|188            |457                  |486      |550     |8.757    |
|188            |458                  |487      |550     |5.8065   |
|188            |459                  |488      |550     |8.862    |
|189            |460                  |402      |3       |47.4705  |
|190            |461                  |510      |550     |23.079   |
|190            |462                  |511      |550     |29.274   |
|190            |463                  |512      |550     |34.9755  |
|191            |464                  |408      |3       |43.2705  |
|191            |465                  |409      |3       |41.1705  |
|191            |466                  |914      |550     |21.0945  |
|191            |467                  |915      |550     |30.4395  |
|192            |468                  |525      |550     |2.3205   |
|193            |469                  |526      |550     |3.6435   |
|194            |470                  |908      |550     |21.0945  |
|194            |471                  |909      |550     |30.4395  |
|195            |472                  |356      |60      |3.6015   |
|195            |473                  |357      |60      |3.9795   |
|196            |474                  |935      |550     |31.4895  |
|196            |475                  |936      |550     |48.2895  |
|197            |476                  |524      |550     |12.9675  |
|198            |477                  |911      |550     |21.0945  |
|198            |478                  |912      |550     |30.4395  |
|199            |479                  |910      |550     |40.9395  |
|200            |480                  |937      |550     |62.9895  |
|201            |481                  |468      |3       |47.5965  |
|201            |482                  |469      |3       |43.323   |
|201            |483                  |470      |3       |41.223   |
|201            |484                  |471      |3       |45.4965  |
|202            |485                  |462      |3       |47.6805  |
|203            |486                  |510      |550     |23.4045  |
|203            |487                  |511      |550     |27.867   |
|204            |488                  |527      |550     |6.7515   |
|205            |489                  |938      |550     |31.4895  |
|205            |490                  |939      |550     |48.2895  |
|205            |491                  |509      |550     |36.2775  |
|206            |492                  |492      |60      |50.7465  |
|206            |493                  |493      |60      |58.2645  |
|206            |494                  |494      |60      |50.7465  |
|206            |495                  |495      |60      |62.9265  |
|207            |496                  |523      |550     |10.3845  |
|208            |497                  |430      |3       |45.654   |
|208            |498                  |431      |3       |41.3805  |
|208            |499                  |432      |3       |39.2805  |
|208            |500                  |433      |3       |43.554   |
|208            |501                  |434      |3       |39.2805  |
|209            |502                  |490      |3       |12.7155  |
|209            |503                  |491      |3       |19.9395  |
|210            |504                  |528      |3       |38.157   |
|211            |505                  |505      |3       |44.2155  |
|212            |506                  |938      |550     |31.4895  |
|212            |507                  |939      |550     |48.2895  |
|213            |508                  |358      |60      |6.9825   |
|214            |509                  |375      |3       |43.2705  |
|214            |510                  |376      |3       |47.544   |
|215            |511                  |356      |60      |3.381    |
|215            |512                  |357      |60      |4.3155   |
|216            |513                  |386      |3       |47.4915  |
|216            |514                  |387      |3       |43.2705  |
|216            |515                  |388      |3       |47.544   |
|216            |516                  |389      |3       |43.2705  |
|217            |517                  |490      |3       |12.3585  |
|218            |518                  |513      |550     |39.1965  |
|219            |519                  |410      |3       |36.9705  |
|219            |520                  |411      |3       |34.8705  |
|219            |521                  |412      |3       |39.144   |
|219            |522                  |413      |3       |47.5755  |
|219            |523                  |414      |3       |45.4755  |
|220            |524                  |931      |550     |34.8705  |
|220            |525                  |932      |550     |39.7635  |
|220            |526                  |933      |550     |43.9845  |
|221            |527                  |427      |3       |47.754   |
|221            |528                  |428      |3       |43.4805  |
|221            |529                  |429      |3       |41.3805  |
|221            |530                  |430      |3       |45.654   |
|222            |531                  |346      |3       |47.649   |
|222            |532                  |347      |3       |43.3755  |
|223            |533                  |931      |550     |34.3455  |
|223            |534                  |932      |550     |39.2385  |
|224            |535                  |341      |3       |47.4705  |
|224            |536                  |342      |3       |45.3705  |
|225            |537                  |928      |550     |32.7705  |
|225            |538                  |929      |550     |37.086   |
|225            |539                  |930      |550     |43.0395  |
|226            |540                  |332      |550     |10.815   |
|227            |541                  |948      |550     |82.8345  |
|227            |542                  |907      |550     |82.8345  |
|228            |543                  |325      |1,250   |0.21     |
|228            |544                  |326      |1,250   |0.21     |
|229            |545                  |320      |3       |49.644   |
|229            |546                  |321      |3       |44.3205  |
|229            |547                  |322      |60      |28.6965  |
|230            |548                  |930      |550     |42.5145  |
|230            |549                  |921      |550     |5.586    |
|231            |550                  |952      |60      |15.7395  |
|232            |551                  |933      |550     |43.4595  |
|232            |552                  |934      |550     |37.6215  |
|233            |553                  |319      |550     |48.5835  |
|234            |554                  |928      |550     |32.2455  |
|234            |555                  |929      |550     |36.561   |
|235            |556                  |319      |550     |46.4205  |
|236            |557                  |370      |3       |43.3965  |
|236            |558                  |371      |3       |39.123   |
|236            |559                  |372      |3       |37.023   |
|236            |560                  |373      |3       |41.2965  |
|237            |561                  |2        |3       |41.916   |
|238            |562                  |1        |3       |50.2635  |
|239            |563                  |368      |3       |41.3805  |
|239            |564                  |369      |3       |39.2805  |
|239            |565                  |370      |3       |43.554   |
|239            |566                  |371      |3       |39.2805  |
|239            |567                  |372      |3       |37.1805  |
|240            |568                  |530      |550     |16.086   |
|241            |569                  |4        |3       |57.0255  |
|242            |570                  |512      |550     |37.086   |
|243            |571                  |513      |550     |26.5965  |
|244            |572                  |317      |550     |27.0585  |
|244            |573                  |318      |550     |33.579   |
|245            |574                  |418      |3       |36.9705  |
|245            |575                  |419      |3       |34.8705  |
|245            |576                  |420      |3       |39.144   |
|245            |577                  |421      |3       |47.5755  |
|246            |578                  |422      |3       |47.523   |
|246            |579                  |423      |3       |45.423   |
|246            |580                  |424      |3       |49.6965  |
|246            |581                  |425      |3       |45.423   |
|247            |582                  |320      |3       |47.4705  |
|247            |583                  |321      |3       |42.798   |
|247            |584                  |322      |60      |25.4205  |
|248            |585                  |450      |3       |45.5805  |
|248            |586                  |451      |3       |43.4805  |
|248            |587                  |452      |3       |47.754   |
|248            |588                  |453      |3       |43.4805  |
|248            |589                  |454      |3       |41.3805  |
|249            |590                  |941      |550     |62.9895  |
|250            |591                  |320      |3       |45.3705  |
|250            |592                  |321      |3       |40.488   |
|250            |593                  |322      |60      |26.3655  |
|251            |594                  |504      |3       |48.762   |
|252            |595                  |497      |3       |34.188   |
|253            |596                  |323      |3       |50.2635  |
|254            |597                  |523      |550     |10.731   |
|254            |598                  |524      |550     |14.1225  |
|255            |599                  |496      |60      |48.909   |
|256            |600                  |914      |550     |21.0945  |
|256            |601                  |915      |550     |30.4395  |
|256            |602                  |916      |550     |40.9395  |
|257            |603                  |506      |60      |9.198    |
|258            |604                  |351      |550     |5.775    |
|258            |605                  |352      |550     |1.155    |
|258            |606                  |679      |550     |5.775    |
|259            |607                  |507      |550     |23.394   |
|259            |608                  |508      |550     |27.6465  |
|260            |609                  |355      |550     |1.365    |
|260            |610                  |940      |550     |62.9895  |
|260            |611                  |535      |550     |3.486    |
|261            |612                  |679      |550     |6.195    |
|262            |613                  |507      |550     |22.1655  |
|262            |614                  |508      |550     |29.2845  |
|263            |615                  |491      |3       |19.9815  |
|264            |616                  |341      |3       |41.1705  |
|264            |617                  |342      |3       |39.0705  |
|265            |618                  |935      |550     |31.4895  |
|265            |619                  |936      |550     |48.2895  |
|266            |620                  |391      |3       |36.9705  |
|266            |621                  |392      |3       |41.244   |
|266            |622                  |393      |3       |36.9705  |
|266            |623                  |394      |3       |43.218   |
|267            |624                  |489      |550     |10.4685  |
|268            |625                  |402      |3       |47.4705  |
|269            |626                  |510      |550     |23.079   |
|269            |627                  |511      |550     |29.274   |
|269            |628                  |512      |550     |34.9755  |
|270            |629                  |916      |550     |40.9395  |
|271            |630                  |525      |550     |2.3205   |
|272            |631                  |526      |550     |3.6435   |
|273            |632                  |913      |550     |40.9395  |
|274            |633                  |356      |60      |3.6015   |
|274            |634                  |357      |60      |3.9795   |
|275            |635                  |935      |550     |31.4895  |
|275            |636                  |936      |550     |48.2895  |
|276            |637                  |524      |550     |12.9675  |
|277            |638                  |911      |550     |21.0945  |
|277            |639                  |912      |550     |30.4395  |
|278            |640                  |910      |550     |40.9395  |
|279            |641                  |937      |550     |62.9895  |
|280            |642                  |472      |3       |41.223   |
|280            |643                  |473      |3       |39.123   |
|280            |644                  |474      |3       |43.3965  |
|281            |645                  |462      |3       |47.6805  |
|282            |646                  |510      |550     |23.4045  |
|282            |647                  |511      |550     |27.867   |
|283            |648                  |527      |550     |6.7515   |
|284            |649                  |938      |550     |31.4895  |
|284            |650                  |939      |550     |48.2895  |
|285            |651                  |496      |60      |49.6545  |
