|salesorderid|product_name                   |orderqty|unitprice |
|57,125      |Classic Vest, S                |18      |34.925    |
|50,294      |Full-Finger Gloves, M          |18      |20.8945   |
|71,824      |Road-750 Black, 48             |18      |296.9945  |
|51,168      |Short-Sleeve Classic Jersey, XL|18      |29.6945   |
|51,751      |Water Bottle - 30 oz.          |18      |2.7445    |
|67,339      |Classic Vest, S                |18      |34.925    |
|46,981      |Long-Sleeve Logo Jersey, L     |18      |26.437    |
|50,206      |Women's Tights, S              |18      |41.2445   |
|50,206      |Full-Finger Gloves, L          |18      |20.8945   |
|51,734      |Water Bottle - 30 oz.          |18      |2.7445    |
|55,301      |Classic Vest, S                |18      |34.925    |
|57,029      |Racing Socks, L                |18      |4.9445    |
|44,489      |Mountain Bike Socks, M         |18      |5.225     |
|53,615      |Classic Vest, S                |18      |34.925    |
|69,413      |Women's Mountain Shorts, S     |18      |38.4945   |
|51,151      |Hitch Rack - 4-Bike            |18      |66        |
|65,191      |Classic Vest, S                |18      |34.925    |
|58,908      |Sport-100 Helmet, Blue         |18      |19.2445   |
|51,151      |Short-Sleeve Classic Jersey, XL|18      |29.6945   |
|49,856      |Road-650 Red, 44               |18      |430.6445  |
|53,616      |AWC Logo Cap                   |18      |4.9445    |
|46,673      |Full-Finger Gloves, M          |18      |20.8945   |
|48,069      |Full-Finger Gloves, M          |18      |20.8945   |
|47,377      |Road-650 Red, 60               |18      |430.6445  |
|47,400      |Women's Tights, L              |18      |41.2445   |
|44,294      |Mountain Bike Socks, M         |18      |5.225     |
|46,957      |ML Headset                     |18      |56.2595   |
|61,230      |Women's Mountain Shorts, S     |18      |38.4945   |
|46,947      |Full-Finger Gloves, L          |18      |20.8945   |
|57,067      |Classic Vest, S                |18      |34.925    |
|57,105      |Women's Mountain Shorts, S     |18      |38.4945   |
|46,662      |Long-Sleeve Logo Jersey, L     |18      |26.437    |
|61,228      |Short-Sleeve Classic Jersey, XL|18      |29.6945   |
|69,532      |Women's Mountain Shorts, L     |18      |38.4945   |
|55,282      |Touring-1000 Blue, 46          |18      |1,311.2385|
|47,400      |Men's Sports Shorts, M         |18      |32.9945   |
|47,411      |Full-Finger Gloves, L          |18      |20.8945   |
|47,726      |Full-Finger Gloves, M          |18      |20.8945   |
|46,067      |Long-Sleeve Logo Jersey, L     |18      |26.437    |
|55,251      |Women's Mountain Shorts, L     |18      |38.4945   |
|51,837      |Classic Vest, M                |18      |34.925    |
|53,535      |HL Touring Frame - Blue, 60    |18      |552.1505  |
|65,226      |Short-Sleeve Classic Jersey, XL|18      |29.6945   |
|51,116      |Racing Socks, L                |18      |4.9445    |
|51,839      |AWC Logo Cap                   |18      |4.9445    |
|47,394      |Full-Finger Gloves, L          |18      |20.8945   |
|47,355      |Sport-100 Helmet, Black        |18      |18.5043   |
|51,109      |Water Bottle - 30 oz.          |18      |2.7445    |
|58,931      |AWC Logo Cap                   |18      |4.9445    |
|51,127      |Women's Mountain Shorts, S     |18      |38.4945   |
|55,249      |Classic Vest, S                |17      |34.925    |
|51,092      |Bike Wash - Dissolver          |17      |4.3725    |
|46,624      |Full-Finger Gloves, L          |17      |20.8945   |
|53,578      |Racing Socks, L                |17      |4.9445    |
|47,039      |Full-Finger Gloves, L          |17      |20.8945   |
|67,325      |Hitch Rack - 4-Bike            |17      |66        |
|50,663      |Road-650 Red, 48               |17      |430.6445  |
|57,125      |Classic Vest, M                |17      |34.925    |
|51,160      |Half-Finger Gloves, M          |17      |13.4695   |
|67,263      |Women's Mountain Shorts, L     |17      |38.4945   |
|65,195      |Women's Mountain Shorts, S     |17      |38.4945   |
|49,843      |Full-Finger Gloves, M          |17      |20.8945   |
|49,890      |Road-650 Red, 44               |17      |430.6445  |
|55,328      |Sport-100 Helmet, Blue         |17      |19.2445   |
|55,282      |Touring-1000 Yellow, 60        |17      |1,311.2385|
|51,169      |Short-Sleeve Classic Jersey, XL|17      |29.6945   |
|46,669      |Road-650 Red, 44               |17      |234.897   |
|69,437      |Women's Mountain Shorts, L     |17      |38.4945   |
|51,822      |Women's Mountain Shorts, S     |17      |38.4945   |
|51,168      |AWC Logo Cap                   |17      |4.9445    |
|69,475      |Classic Vest, S                |17      |34.925    |
|51,734      |Road-350-W Yellow, 48          |17      |935.5445  |
|53,505      |Short-Sleeve Classic Jersey, XL|17      |29.6945   |
|53,573      |Mountain-200 Black, 38         |17      |1,262.2445|
|53,458      |Short-Sleeve Classic Jersey, S |17      |29.6945   |
|49,884      |Road-650 Black, 52             |17      |430.6445  |
|46,671      |Women's Tights, S              |17      |41.2445   |
|69,442      |Classic Vest, S                |17      |34.925    |
|51,845      |Women's Mountain Shorts, S     |17      |38.4945   |
|71,889      |Classic Vest, S                |17      |34.925    |
|51,143      |Classic Vest, M                |17      |34.925    |
|46,672      |Women's Tights, L              |17      |41.2445   |
|65,160      |Road-350-W Yellow, 48          |17      |935.5445  |
|51,810      |Hitch Rack - 4-Bike            |17      |66        |
|71,783      |Long-Sleeve Logo Jersey, L     |17      |27.4945   |
|48,295      |Long-Sleeve Logo Jersey, L     |17      |26.437    |
|71,830      |Short-Sleeve Classic Jersey, XL|17      |29.6945   |
|48,295      |Road-650 Black, 52             |17      |430.6445  |
|61,190      |Short-Sleeve Classic Jersey, XL|17      |29.6945   |
|46,604      |Full-Finger Gloves, L          |17      |20.8945   |
|51,140      |Short-Sleeve Classic Jersey, XL|17      |29.6945   |
|59,037      |Racing Socks, L                |17      |4.9445    |
|69,526      |Sport-100 Helmet, Blue         |17      |19.2445   |
|58,932      |Sport-100 Helmet, Black        |17      |19.2445   |
|46,993      |Women's Tights, S              |17      |41.2445   |
|55,249      |Bike Wash - Dissolver          |17      |4.3725    |
|53,478      |Women's Mountain Shorts, S     |17      |38.4945   |
|51,853      |Women's Mountain Shorts, L     |17      |38.4945   |
|57,051      |Hitch Rack - 4-Bike            |17      |66        |
|50,738      |Sport-100 Helmet, Red          |17      |18.5043   |
|53,580      |Women's Mountain Shorts, L     |17      |38.4945   |
|47,395      |Road-650 Black, 52             |17      |430.6445  |
|51,111      |Women's Mountain Shorts, L     |17      |38.4945   |
|49,870      |Road-650 Black, 52             |17      |430.6445  |
|58,974      |Classic Vest, S                |17      |34.925    |
|53,567      |AWC Logo Cap                   |17      |4.9445    |
|53,530      |Road-350-W Yellow, 48          |17      |935.5445  |
|57,023      |Hydration Pack - 70 oz.        |17      |30.2445   |
|51,789      |Long-Sleeve Logo Jersey, L     |17      |27.4945   |
|48,295      |AWC Logo Cap                   |17      |4.7543    |
|53,530      |Hitch Rack - 4-Bike            |17      |66        |
|57,023      |Road-350-W Yellow, 48          |17      |935.5445  |
|51,157      |Short-Sleeve Classic Jersey, L |17      |29.6945   |
|47,031      |Full-Finger Gloves, L          |17      |20.8945   |
|71,794      |Classic Vest, S                |17      |34.925    |
|51,703      |Long-Sleeve Logo Jersey, M     |17      |27.4945   |
|51,147      |Bike Wash - Dissolver          |17      |4.3725    |
|51,154      |Water Bottle - 30 oz.          |17      |2.7445    |
|57,065      |Sport-100 Helmet, Black        |17      |19.2445   |
|46,953      |Road-650 Red, 44               |17      |234.897   |
|67,343      |Bike Wash - Dissolver          |17      |4.3725    |
|50,688      |Women's Tights, S              |17      |41.2445   |
|47,045      |Full-Finger Gloves, M          |17      |20.8945   |
|51,151      |Sport-100 Helmet, Blue         |17      |15.7455   |
|53,600      |Racing Socks, L                |17      |4.9445    |
|51,778      |Racing Socks, L                |17      |4.9445    |
|55,253      |Women's Mountain Shorts, S     |17      |38.4945   |
|50,683      |Road-650 Red, 44               |17      |430.6445  |
|46,668      |Road-650 Black, 52             |17      |430.6445  |
|46,987      |Women's Tights, L              |17      |41.2445   |
|53,512      |Women's Mountain Shorts, S     |17      |38.4945   |
|58,920      |Classic Vest, M                |17      |34.925    |
|47,413      |Full-Finger Gloves, M          |17      |20.8945   |
|55,323      |Hydration Pack - 70 oz.        |17      |30.2445   |
|53,536      |Water Bottle - 30 oz.          |17      |2.7445    |
|48,359      |Road-650 Red, 60               |17      |430.6445  |
|67,324      |Classic Vest, S                |17      |34.925    |
|67,305      |Hitch Rack - 4-Bike            |17      |66        |
|51,715      |Women's Mountain Shorts, S     |17      |38.4945   |
|63,291      |Mountain-200 Silver, 42        |17      |1,275.9945|
|53,530      |Bike Wash - Dissolver          |17      |4.3725    |
|71,797      |Bike Wash - Dissolver          |17      |4.3725    |
|71,949      |Sport-100 Helmet, Black        |17      |19.2445   |
|49,481      |Women's Tights, S              |17      |41.2445   |
|47,359      |Long-Sleeve Logo Jersey, L     |16      |26.437    |
|53,505      |Women's Mountain Shorts, L     |16      |38.4945   |
|53,460      |Long-Sleeve Logo Jersey, M     |16      |27.4945   |
|57,122      |AWC Logo Cap                   |16      |4.9445    |
|46,616      |Men's Bib-Shorts, M            |16      |49.4945   |
|57,067      |AWC Logo Cap                   |16      |4.9445    |
|51,810      |Water Bottle - 30 oz.          |16      |2.7445    |
|51,809      |Women's Mountain Shorts, L     |16      |38.4945   |
|51,826      |Touring-2000 Blue, 54          |16      |668.1675  |
|46,953      |Men's Bib-Shorts, M            |16      |49.4945   |
